Date,Close,Open,High,Low,Vol.,Change %
"Jan 09, 2020",45493.15,44932.18,45601.42,44932.18,-,1.25%
"Jan 08, 2020",44932.18,44514.74,44932.18,44201.12,-,0.99%
"Jan 07, 2020",44490.8,44674.44,45268.74,44412.05,-,-0.38%
"Jan 06, 2020",44658.76,46062.83,46062.83,44658.76,-,-3.21%
"Jan 03, 2020",46141.22,46217.85,46217.85,45904.82,-,-0.19%
"Jan 02, 2020",46230.22,46084.43,46476.2,45879.12,-,0.32%
"Dec 30, 2019",46082.82,45984.46,46113.97,45794.27,-,0.21%
"Dec 23, 2019",45984.46,45608.85,45984.46,45399.29,-,0.83%
"Dec 20, 2019",45606.35,45930.55,46050.53,45580.03,-,-0.74%
"Dec 19, 2019",45944.68,45657.12,45944.68,45406.14,-,0.63%
"Dec 18, 2019",45656.8,45026.88,45656.8,44880,-,1.38%
"Dec 17, 2019",45035.35,45542.09,45674.47,44833.23,-,-1.25%
"Dec 16, 2019",45603.92,45763.97,45991.28,45437.21,-,-0.34%
"Dec 13, 2019",45760.15,45432.15,46031.26,45395.79,-,0.83%
"Dec 12, 2019",45382.68,44601.72,45382.68,44601.72,-,1.75%
"Dec 11, 2019",44603.48,44248.64,44663.35,44159.95,-,0.80%
"Dec 10, 2019",44248.52,44640.38,44843.16,44248.52,-,-0.88%
"Dec 09, 2019",44640.38,44199.66,44685.44,44117.62,-,0.98%
"Dec 06, 2019",44207.5,44229.1,44289.53,44013.1,-,0.06%
"Dec 05, 2019",44182.07,43991.45,44365.27,43860.67,-,0.24%
"Dec 04, 2019",44078.02,43048.25,44083.07,42927.6,-,2.39%
"Dec 03, 2019",43048.25,43345.57,43513.65,42961.1,-,-0.74%
"Dec 02, 2019",43370.3,43693.55,43912.75,43370.3,-,-0.77%
"Nov 29, 2019",43704.85,43818.01,43885.71,43593.72,-,-0.22%
"Nov 28, 2019",43799.85,43599.29,43901.59,43546.92,-,0.46%
"Nov 27, 2019",43599.69,43770.66,43987.97,43564.47,-,-0.42%
"Nov 26, 2019",43781.96,44264.98,44305.95,43661.25,-,-1.20%
"Nov 25, 2019",44314.45,44078.69,44407.51,43903.06,-,0.59%
"Nov 22, 2019",44053.95,43654.84,44086.42,43617.01,-,0.92%
"Nov 21, 2019",43654.37,43938.9,43938.9,43511.28,-,-0.65%
"Nov 20, 2019",43938.9,43680.62,43952.4,43435.26,-,0.73%
"Nov 19, 2019",43618.78,43867.73,44105.41,43571.06,-,-0.57%
