Date,Close,Open,High,Low,Vol.,Change %
"Jan 09, 2020",1126.66,1118.22,1128.29,1118.22,-,0.75%
"Jan 08, 2020",1118.22,1118.05,1118.76,1111.4,-,0.05%
"Jan 07, 2020",1117.64,1119.22,1122.37,1115.66,-,-0.07%
"Jan 06, 2020",1118.43,1121.44,1121.9,1108.36,-,-0.27%
"Jan 03, 2020",1121.44,1124.37,1126.85,1119.14,-,-0.22%
"Jan 02, 2020",1123.91,1116.05,1124.77,1113.94,-,0.74%
"Dec 30, 2019",1115.63,1119.33,1120.2,1113.86,-,-0.33%
"Dec 27, 2019",1119.33,1114.5,1120.95,1112.76,-,0.41%
"Dec 23, 2019",1114.73,1109.56,1114.73,1107.74,-,0.58%
"Dec 20, 2019",1108.3,1110.15,1112.28,1105.56,-,-0.26%
"Dec 19, 2019",1111.24,1106.03,1111.24,1103.6,-,0.45%
"Dec 18, 2019",1106.23,1101.1,1107.67,1099.74,-,0.47%
"Dec 17, 2019",1101.1,1099.91,1102.3,1097.6,-,0.10%
"Dec 16, 2019",1100.02,1093.64,1103.06,1093.49,-,0.60%
"Dec 13, 2019",1093.41,1091.88,1099.65,1090.4,-,0.15%
"Dec 12, 2019",1091.78,1081.37,1092.33,1080.76,-,1.09%
"Dec 11, 2019",1079.96,1085.44,1086.05,1079.39,-,-0.49%
"Dec 10, 2019",1085.32,1087.45,1087.45,1079.14,-,-0.18%
"Dec 09, 2019",1087.25,1091.31,1092.42,1085.38,-,-0.36%
"Dec 06, 2019",1091.19,1084.05,1091.23,1083.94,-,0.67%
"Dec 05, 2019",1083.94,1079.26,1086.01,1079.26,-,0.43%
"Dec 04, 2019",1079.35,1078.64,1080.48,1075.07,-,0.16%
"Dec 03, 2019",1077.64,1081.97,1082.66,1074.02,-,-0.37%
"Dec 02, 2019",1081.69,1080.75,1089.58,1079.4,-,0.09%
"Nov 29, 2019",1080.75,1085.03,1085.14,1078.25,-,-0.28%
"Nov 28, 2019",1083.82,1085.45,1089.73,1083.82,-,-0.15%
"Nov 27, 2019",1085.45,1079.34,1088.45,1079.34,-,0.60%
"Nov 26, 2019",1079.01,1086.91,1088.36,1076.76,-,-0.51%
"Nov 25, 2019",1084.56,1081.97,1087.86,1081.97,-,0.25%
"Nov 22, 2019",1081.9,1074.06,1083.57,1073.59,-,0.76%
"Nov 21, 2019",1073.69,1078.45,1078.45,1068.36,-,-0.43%
"Nov 20, 2019",1078.34,1079.64,1080.72,1074.27,-,-0.13%
"Nov 19, 2019",1079.73,1077.5,1084.08,1077.5,-,0.14%
"Nov 18, 2019",1078.18,1082.98,1086.07,1077,-,-0.46%
"Nov 15, 2019",1083.11,1080.57,1086.67,1080.31,-,0.34%
"Nov 14, 2019",1079.39,1085.76,1086.37,1077.46,-,-0.51%
"Nov 13, 2019",1084.96,1084.18,1088.09,1081.15,-,0.08%
"Nov 12, 2019",1084.11,1085.29,1087.59,1082.14,-,-0.11%
"Nov 11, 2019",1085.25,1078.07,1085.25,1076.75,-,0.65%
