Date,Close,Open,High,Low,Vol.,Change %
"Aug 15, 2011",226.89,224.66,226.89,224.66,-,1.11%
"Aug 16, 2011",227.17,226.89,227.38,226.88,-,0.12%
"Aug 17, 2011",225.15,224.98,225.24,224.98,-,-0.89%
"Aug 18, 2011",226.18,226.18,226.21,226.18,-,0.46%
"Aug 19, 2011",227.22,227.23,227.23,227.19,-,0.46%
"Aug 22, 2011",227.36,227.22,227.36,227.22,-,0.06%
"Aug 23, 2011",227.31,227.36,227.45,227.31,-,-0.02%
"Aug 24, 2011",226.94,227.31,227.38,226.86,-,-0.16%
"Aug 25, 2011",227.45,223.65,227.45,223.65,-,0.22%
"Aug 26, 2011",226.96,227,227,226.89,-,-0.22%
"Aug 30, 2011",225.61,226.84,227.11,225.57,-,-0.59%
"Aug 31, 2011",225.75,225.61,225.75,225.61,-,0.06%
"Sep 02, 2011",225.52,225.75,225.75,225.52,-,-0.10%
"Sep 05, 2011",226.15,226.2,226.23,226.15,-,0.28%
"Sep 06, 2011",222.66,226.15,226.26,222.66,-,-1.54%
"Sep 07, 2011",222.21,222.2,222.25,222.14,-,-0.20%
"Sep 08, 2011",223.31,223.31,224.23,223.29,-,0.50%
"Sep 09, 2011",222.21,223.31,225.52,222.21,-,-0.49%
"Sep 12, 2011",225.63,224.97,225.88,224.97,-,1.54%
"Sep 13, 2011",223.45,221.24,223.47,221.24,-,-0.97%
"Sep 14, 2011",223.42,223.45,223.54,223.36,-,-0.01%
"Sep 16, 2011",222.19,222.95,223.37,221.72,-,-0.55%
"Sep 19, 2011",220.5,223.42,224.46,220.5,-,-0.76%
"Sep 20, 2011",223.92,223.24,224.01,223.24,-,1.55%
"Sep 21, 2011",222.99,223.57,224.16,222.99,-,-0.42%
"Sep 22, 2011",223.62,222.99,224.01,222.99,-,0.28%
"Sep 23, 2011",225.63,222.15,225.68,220.13,-,0.90%
"Sep 26, 2011",226.6,225.55,226.6,224.55,-,0.43%
"Sep 27, 2011",227.34,228.29,228.29,227.19,-,0.33%
"Sep 28, 2011",227.39,227.06,227.44,227.06,-,0.02%
"Sep 29, 2011",221.86,227.39,227.48,221.86,-,-2.43%
"Sep 30, 2011",222.42,221.21,222.7,221.21,-,0.25%
"Oct 03, 2011",218.87,220.19,220.19,218.87,-,-1.60%
"Oct 04, 2011",218.66,218.87,218.87,218.66,-,-0.10%
"Oct 05, 2011",222.24,219,222.4,218.78,-,1.64%
"Oct 06, 2011",223.25,222.17,223.28,222.17,-,0.45%
"Oct 07, 2011",222.98,222.98,222.98,222.98,-,-0.12%
"Oct 10, 2011",223.61,222.64,223.73,222.64,-,0.28%
"Oct 11, 2011",222.69,222.86,223.97,222.65,-,-0.41%
