Date,Close,Open,High,Low,Vol.,Change %
"Jun 26, 2020",1759.43,1799.33,1800.49,1759.37,27.87M,-1.89%
"Jun 25, 2020",1793.36,1781.84,1798.8,1759.21,33.80M,0.51%
"Jun 24, 2020",1784.23,1830.39,1836.89,1784.23,38.48M,-2.29%
"Jun 23, 2020",1825.99,1807.1,1847.33,1806.21,44.38M,1.61%
"Jun 22, 2020",1797.05,1805.25,1807.19,1786.99,43.85M,-0.60%
"Jun 19, 2020",1807.85,1791.68,1809.23,1791.68,91.77M,0.67%
"Jun 18, 2020",1795.86,1787.9,1804.13,1780.45,75.87M,0.45%
"Jun 17, 2020",1787.81,1807.91,1812.65,1780.94,50.20M,-0.57%
"Jun 16, 2020",1798,1765.17,1811.7,1765.17,66.68M,3.25%
"Jun 15, 2020",1741.47,1767.35,1767.35,1735.27,89.29M,-2.65%
"Jun 12, 2020",1788.83,1792.35,1812.33,1754.16,89.47M,-2.84%
"Jun 10, 2020",1841.18,1840.1,1846.29,1817.06,99.91M,0.30%
"Jun 09, 2020",1835.59,1848.11,1856.66,1811.96,63.66M,-0.31%
"Jun 08, 2020",1841.25,1842.22,1852.69,1813.02,47.83M,-0.07%
"Jun 05, 2020",1842.47,1794.38,1847.95,1794.38,59.25M,3.13%
"Jun 04, 2020",1786.58,1765.6,1786.58,1755.73,48.70M,1.12%
"Jun 03, 2020",1766.85,1741.91,1780.86,1741.36,61.76M,1.76%
"Jun 02, 2020",1736.36,1735.86,1739.48,1722.5,48.47M,0.16%
"Jun 01, 2020",1733.52,1733.13,1749.58,1722.77,36.71M,0.63%
"May 29, 2020",1722.65,1718.19,1722.65,1699.32,76.82M,0.24%
"May 28, 2020",1718.45,1722.43,1757.78,1694.6,59.31M,0.64%
"May 27, 2020",1707.59,1713.73,1763.02,1705.09,59.90M,-0.12%
"May 26, 2020",1709.71,1657.26,1712.64,1657.26,58.20M,3.95%
"May 25, 2020",1644.74,1639.26,1650.39,1634.34,12.11M,0.88%
"May 22, 2020",1630.44,1632.27,1635.98,1617.76,19.97M,-0.45%
"May 21, 2020",1637.84,1651.03,1653.92,1636.24,22.16M,-0.90%
"May 20, 2020",1652.64,1640.26,1662.2,1634.44,24.02M,0.76%
"May 19, 2020",1640.18,1651.08,1658.34,1629.29,24.49M,0.07%
"May 18, 2020",1639.08,1585.92,1639.08,1585.92,29.45M,4.23%
"May 15, 2020",1572.55,1585.51,1597.04,1568.38,18.37M,-0.42%
"May 14, 2020",1579.16,1605.68,1605.68,1559.52,26.39M,-2.18%
"May 13, 2020",1614.32,1615.9,1634.77,1607,24.39M,-0.50%
"May 12, 2020",1622.51,1589.69,1624.52,1584.01,29.57M,2.22%
"May 11, 2020",1587.31,1614.21,1619.36,1581.5,17.94M,-1.19%
"May 08, 2020",1606.5,1600.54,1614.18,1599.51,15.38M,1.21%
"May 07, 2020",1587.35,1572.16,1602.76,1559.06,21.76M,1.24%
"May 06, 2020",1567.98,1604.6,1606.44,1565.07,34.61M,-1.93%
"May 05, 2020",1598.84,1609.04,1616.34,1591.58,22.42M,-0.11%
"May 04, 2020",1600.65,1630.24,1630.24,1597.7,23.79M,-2.91%
"Apr 30, 2020",1648.68,1661.23,1682.13,1636.35,46.69M,-0.16%
"Apr 29, 2020",1651.33,1601.65,1656.4,1600.78,35.81M,3.58%
"Apr 28, 2020",1594.25,1590.34,1622.8,1579.94,37.31M,0.14%
"Apr 27, 2020",1591.97,1614.29,1624.69,1580.48,34.03M,-0.62%
"Apr 24, 2020",1601.91,1617.91,1627.49,1601.91,26.30M,-1.49%
"Apr 23, 2020",1626.1,1609.41,1626.82,1589.64,30.89M,1.31%
